@relation generated_from_java-ml_dataset-weka.filters.unsupervised.attribute.NumericToNominal-R7

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 {0,1,2,3,4}
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric

@data
1016527,896,18,1134,9,12935,4,5304,26,24
1907149,123,17,15505,7,2319,4,5967,9,8
10888952,2360,17,4613,56,4198,2,38318,87,75
10888952,2360,19,4613,59,4198,2,38318,89,79
1907149,123,20,15505,271,2319,1,5967,489,408
8669203,91,19,95265,13,23263,4,45290,18,18
362647,40082,8,9,2,64978,4,23220,5,4
10888952,2360,0,4613,33,4198,3,38318,53,46
441455,845,7,522,4,19253,4,10777,7,7
441455,845,13,522,5,19253,4,10777,8,8
134546,633,8,212,14,7626,3,2096,33,29
1653625,2332,10,709,4,41796,4,26459,4,4
10888952,2360,22,4613,40,4198,3,38318,56,54
32928,423,11,77,1,14393,4,1204,1,1
32928,423,3,77,7,14393,4,1204,7,7
1653625,2332,7,709,41,41796,3,26459,68,58
32928,423,18,77,4,14393,4,1204,4,4
32928,423,6,77,11,14393,4,1204,14,13
6323400,51356,18,123,14,17632,3,56696,25,22
131763,80,16,1647,18,821,4,4697,27,25
441455,845,16,522,0,19253,4,10777,1,1
1653625,2332,8,709,2,41796,4,26459,6,6
1653625,2332,23,709,10,41796,4,26459,11,11
1907149,123,15,15505,3,2319,4,5967,3,3
2458743,1001,12,2456,201,14140,2,21863,243,230
1653625,2332,16,709,8,41796,4,26459,10,10
32928,423,12,77,9,14393,4,1204,10,9
299821,823,14,364,26,9854,3,9675,36,35
32928,423,11,77,33,14393,3,1204,49,45
32928,423,0,77,3,14393,4,1204,5,5
8669203,91,7,95265,16,23263,4,45290,20,20
6323400,51356,12,123,352,17632,0,56696,671,575
122198,98,10,1246,23,14768,4,7809,31,29
122198,98,10,1246,10,14768,3,7809,25,20
8669203,91,8,95265,590,23263,1,45290,1010,892
1653625,2332,15,709,21,41796,3,26459,26,24
122198,98,16,1246,8,14768,4,7809,10,9
362647,40082,8,9,5,64978,4,23220,7,7
32928,423,0,77,0,14393,4,1204,1,0
10888952,2360,23,4613,34,4198,3,38318,45,39
441455,845,8,522,5,19253,4,10777,11,10
122198,98,15,1246,0,14768,4,7809,1,1
441455,845,21,522,2,19253,4,10777,5,3
1653625,2332,12,709,17,41796,3,26459,26,25
1653625,2332,16,709,98,41796,2,26459,188,164
1907149,123,17,15505,14,2319,4,5967,22,18
1907149,123,15,15505,24,2319,4,5967,36,32
8669203,91,8,95265,23,23263,3,45290,39,32
8669203,91,18,95265,314,23263,0,45290,533,472
362647,40082,16,9,217,64978,2,23220,270,253
441455,845,22,522,1,19253,4,10777,1,1
1653625,2332,17,709,21,41796,3,26459,43,38
10888952,2360,23,4613,60,4198,2,38318,78,74
32928,423,11,77,1,14393,4,1204,1,1
1907149,123,15,15505,6,2319,4,5967,8,7
8669203,91,7,95265,9,23263,4,45290,15,14
8669203,91,8,95265,503,23263,0,45290,915,830
1653625,2332,12,709,33,41796,3,26459,47,41
